Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude	P001001	H001001
040	00	01						Alabama	33.041578	-86.717606	4447100	1963711
040	00	02						Alaska	61.593773	-149.689776	626932	260978
040	00	04						Arizona	33.979048	-111.654430	5130632	2189189
040	00	05						Arkansas	34.984084	-92.487179	2673400	1173043
040	00	06						California	36.148666	-119.601508	33871648	12214549
040	00	08						Colorado	39.279984	-105.358979	4301261	1808037
040	00	09						Connecticut	41.518148	-72.818249	3405565	1385975
040	00	10						Delaware	39.185514	-75.504198	783600	343072
040	00	11						District of Columbia	38.913611	-77.013222	572059	274845
040	00	12						Florida	28.140923	-82.012976	15982378	7302947
040	00	13						Georgia	32.958120	-83.603378	8186453	3281737
040	00	15						Hawaii	20.807317	-156.991487	1211537	460542
040	00	16						Idaho	44.390597	-114.909437	1293953	527824
040	00	17						Illinois	40.567457	-88.847580	12419293	4885615
040	00	18						Indiana	40.070025	-86.272347	6080485	2532319
040	00	19						Iowa	42.038326	-93.368434	2926324	1232511
040	00	20						Kansas	38.442264	-97.399596	2688418	1131200
040	00	21						Kentucky	37.637259	-85.323884	4041769	1750927
040	00	22						Louisiana	30.883133	-91.731841	4468976	1847181
040	00	23						Maine	44.665264	-69.457397	1274923	651901
040	00	24						Maryland	39.114408	-76.782835	5296486	2145283
040	00	25						Massachusetts	42.235405	-71.402300	6349097	2621989
040	00	26						Michigan	43.403838	-84.679044	9938444	4234279
040	00	27						Minnesota	45.639952	-94.083065	4919479	2065946
040	00	28						Mississippi	32.700249	-89.609622	2844658	1161953
040	00	29						Missouri	38.353271	-92.439467	5595211	2442017
040	00	30						Montana	46.939672	-110.568466	902195	412633
040	00	31						Nebraska	41.242052	-98.411541	1711263	722668
040	00	32						Nevada	38.640903	-116.886031	1998257	827457
040	00	33						New Hampshire	43.309253	-71.540147	1235786	547024
040	00	34						New Jersey	40.291026	-74.500310	8414350	3310275
040	00	35						New Mexico	34.715946	-106.338771	1819046	780579
040	00	36						New York	42.155127	-75.164667	18976457	7679307
040	00	37						North Carolina	35.526729	-79.746124	8049313	3523944
040	00	38						North Dakota	47.534051	-99.937310	642200	289677
040	00	39						Ohio	40.406215	-82.720939	11353140	4783051
040	00	40						Oklahoma	35.572285	-97.043688	3450654	1514400
040	00	41						Oregon	44.380111	-121.878222	3421399	1452709
040	00	42						Pennsylvania	40.616374	-77.405999	12281054	5249750
040	00	44						Rhode Island	41.730800	-71.455484	1048319	439837
040	00	45						South Carolina	33.993155	-80.963451	4012012	1753670
040	00	46						South Dakota	44.247204	-99.195494	754844	323208
040	00	47						Tennessee	35.822799	-86.090713	5689283	2439443
040	00	48						Texas	31.308052	-98.241319	20851820	8157575
040	00	49						Utah	39.845409	-111.785442	2233169	768594
040	00	50						Vermont	44.023032	-72.674848	608827	294382
040	00	51						Virginia	37.554963	-78.376114	7078515	2904192
040	00	53						Washington	47.315690	-121.102030	5894121	2451075
040	00	54						West Virginia	38.752463	-80.740921	1808344	844623
040	00	55						Wisconsin	44.190581	-89.568976	5363675	2321144
040	00	56						Wyoming	42.868330	-107.166807	493782	223854
040	00	72						Puerto Rico	18.246715	-66.381305	3808610	1418476
